Member_Id,ListAs,DisplayAs,FullTitle
521,"Cousins, Jim",Jim Cousins,Jim Cousins
791,"Cowans, Harry",Harry Cowans,Harry Cowans
1508,"Cox, Geoffrey",Mr Geoffrey Cox,Mr Geoffrey Cox QC MP
205,"Cox, Tom",Tom Cox,Tom Cox
1554,"Crabb, Stephen",Stephen Crabb,Rt Hon Stephen Crabb MP
1634,"Craig, William",William  Craig,Rt Hon William  Craig
792,"Craigen, Jim",Jim Craigen,Jim Craigen
368,"Cran, James",Mr James Cran,Mr James Cran
309,"Cranston, Ross",Sir Ross Cranston,Sir Ross Cranston
437,"Crausby, David",Mr David Crausby,Mr David Crausby MP
1614,"Crawford and Balcarres, E.",Earl of Crawford and Balcarres,The Rt Hon. the Earl of Crawford and Balcarres KT DL GCVO
2431,"Crawshaw of Aintree, L.",Lord Crawshaw of Aintree,The Lord Crawshaw of Aintree
1579,"Creagh, Mary",Mary Creagh,Mary Creagh MP
4088,"Creasy, Stella",Stella Creasy,Stella Creasy MP
1058,"Crickhowell, L.",Lord Crickhowell,The Rt Hon. the Lord Crickhowell
661,"Critchley, Julian",Sir Julian Critchley,Sir Julian Critchley
3967,"Crockart, Mike",Mike Crockart,Mike Crockart MP
794,"Crouch, David",Sir David Crouch,Sir David Crouch
3950,"Crouch, Tracey",Tracey Crouch,Tracey Crouch MP
795,"Crowther, Stan",Stan Crowther,Stan Crowther
1406,"Cruddas, Jon",Jon Cruddas,Jon Cruddas MP
412,"Cryer, Ann",Mrs Ann Cryer,Mrs Ann Cryer
690,"Cryer, Bob",Bob Cryer,Bob Cryer
181,"Cryer, John",John Cryer,John Cryer MP
509,"Cummings, John",John Cummings,John Cummings
447,"Cunliffe, Lawrence",Mr Lawrence Cunliffe,Mr Lawrence Cunliffe
4122,"Cunningham, Alex",Alex Cunningham,Alex Cunningham MP
1100,"Cunningham, George",George Cunningham,George Cunningham
308,"Cunningham, Jim",Mr Jim Cunningham,Mr Jim Cunningham MP
633,"Cunningham, Roseanna",Ms Roseanna Cunningham,Ms Roseanna Cunningham
